# Chunk-averaged data for fix vx and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount vx
1000000 80 174392
  1 0.09375 48.0256 0.05724 2.52618
  2 0.28125 48.0256 0.17139 2.64766
  3 0.46875 48.0256 0.29235 2.71611
  4 0.65625 48.0256 0.39905 2.70708
  5 0.84375 48.0256 0.51045 2.69489
  6 1.03125 48.0256 0.6187 2.67233
  7 1.21875 48.0256 0.73792 2.73813
  8 1.40625 48.0256 0.84677 2.70594
  9 1.59375 48.0256 0.97062 2.69675
  10 1.78125 48.0256 1.08845 2.67336
  11 1.96875 48.0256 1.19146 2.70286
  12 2.15625 48.0256 1.30772 2.67317
  13 2.34375 48.0256 1.41249 2.66891
  14 2.53125 48.0256 1.53243 2.64564
  15 2.71875 48.0256 1.6495 2.66632
  16 2.90625 48.0256 1.77154 2.68419
  17 3.09375 48.0256 1.88498 2.64565
  18 3.28125 48.0256 1.98714 2.62158
  19 3.46875 48.0256 2.10071 2.59049
  20 3.65625 48.0256 2.22172 2.56628
  21 3.84375 48.0256 2.31964 2.56569
  22 4.03125 48.0256 2.442 2.57652
  23 4.21875 48.0256 2.55395 2.56787
  24 4.40625 48.0256 2.65563 2.54324
  25 4.59375 48.0256 2.81662 2.55655
  26 4.78125 48.0256 2.94115 2.53807
  27 4.96875 48.0256 3.03895 2.52921
  28 5.15625 48.0256 3.13754 2.51115
  29 5.34375 48.0256 3.2598 2.51183
  30 5.53125 48.0256 3.36692 2.51735
  31 5.71875 48.0256 3.45472 2.5217
  32 5.90625 48.0256 3.57686 2.49367
  33 6.09375 48.0256 3.70303 2.4718
  34 6.28125 48.0256 3.8135 2.46971
  35 6.46875 48.0256 3.95433 2.45786
  36 6.65625 48.0256 4.03473 2.43661
  37 6.84375 48.0256 4.1646 2.39892
  38 7.03125 48.0256 4.29362 2.40374
  39 7.21875 48.0256 4.40121 2.38741
  40 7.40625 48.0256 4.54401 2.36559
  41 7.59375 48.0256 4.65881 2.3519
  42 7.78125 48.0256 4.81661 2.32934
  43 7.96875 48.0256 4.91734 2.3014
  44 8.15625 48.0256 5.03977 2.28767
  45 8.34375 48.0256 5.17331 2.27184
  46 8.53125 48.0256 5.26663 2.24582
  47 8.71875 48.0256 5.3921 2.21008
  48 8.90625 48.0256 5.51801 2.1843
  49 9.09375 48.0256 5.67935 2.13923
  50 9.28125 48.0256 5.84053 2.1156
  51 9.46875 48.0256 5.98531 2.08226
  52 9.65625 48.0256 6.17954 2.0201
  53 9.84375 48.0256 6.36493 1.95752
  54 10.0312 48.0256 6.70351 1.85492
  55 10.2188 48.0256 7.31231 1.68574
  56 10.4062 48.0256 8.4756 1.44923
  57 10.5938 48.0256 11.2453 1.05614
  58 10.7812 48.0256 19.0594 0.590775
  59 10.9688 48.0256 42.3373 0.246464
  60 11.1562 48.0256 89.0032 0.100351
  61 11.3438 48.0256 153.857 0.0407222
  62 11.5312 48.0256 243.402 0.0162505
  63 11.7188 48.0256 428.87 0.00559138
  64 11.9062 48.0256 857.354 0.00160641
  65 12.0938 48.0256 1085.64 0.000840867
  66 12.2812 48.0256 958.011 0.00040052
  67 12.4688 48.0256 1053 0.000131637
  68 12.6562 48.0256 1063.92 0.000197531
  69 12.8438 48.0256 1487.58 6.41116e-05
  70 13.0312 48.0256 1612.51 2.22578e-05
  71 13.2188 48.0256 1279.3 -1.4825e-05
  72 13.4062 48.0256 955.54 5.89751e-05
  73 13.5938 48.0256 1785.88 -3.12432e-05
  74 13.7812 48.0256 1826.78 1.08407e-05
  75 13.9688 48.0256 1316.62 5.25188e-05
  76 14.1562 48.0256 1293.59 -6.36718e-05
  77 14.3438 48.0256 1608.21 5.78341e-05
  78 14.5312 48.0256 1744.27 -7.73327e-05
  79 14.7188 48.0256 1923.11 3.70945e-05
  80 14.9062 48.0256 151368 -5.18377e-07
